stepno=    1, timepoints=1.100000e+00, conv=0, iters=26, x=5.861804e-01 5.750964e-01 1.087887e-01 6.440899e-04 1.478087e+00 9.998673e+00 -1.459613e-02 -2.410454e-01 
stepno=    2, timepoints=2.200000e+00, conv=0, iters= 9, x=6.744725e-01 6.592812e-01 2.164084e-01 1.384487e-03 1.519960e+00 1.000001e+01 -1.444638e-02 -2.148374e-02 
stepno=    3, timepoints=4.400000e+00, conv=0, iters= 8, x=6.970825e-01 6.684796e-01 4.270143e-01 2.911663e-03 1.500855e+00 1.000001e+01 -1.422445e-02 -2.680159e-03 
stepno=    4, timepoints=8.800000e+00, conv=0, iters=11, x=7.063665e-01 6.714195e-01 8.304739e-01 5.993305e-03 1.500006e+00 1.000001e+01 -1.381635e-02 -2.395949e-03 
stepno=    5, timepoints=1.760000e+01, conv=0, iters=16, x=7.090128e-01 6.722121e-01 1.572127e+00 1.212591e-02 1.500002e+00 1.000001e+01 -1.307338e-02 -2.185343e-03 
stepno=    6, timepoints=3.520000e+01, conv=0, iters=20, x=7.094472e-01 6.723338e-01 2.833443e+00 2.418650e-02 1.500000e+00 1.000001e+01 -1.181184e-02 -2.149731e-03 
stepno=    7, timepoints=7.040000e+01, conv=0, iters=24, x=7.095098e-01 6.723497e-01 4.699293e+00 4.748961e-02 1.500000e+00 1.000001e+01 -9.945960e-03 -2.144674e-03 
stepno=    8, timepoints=1.408000e+02, conv=0, iters=26, x=7.095636e-01 6.723620e-01 6.889258e+00 9.103408e-02 1.500000e+00 1.000000e+01 -7.755962e-03 -2.140347e-03 
stepno=    9, timepoints=2.112000e+02, conv=0, iters=26, x=7.096126e-01 6.723731e-01 8.174448e+00 1.317179e-01 1.500000e+00 1.000000e+01 -6.470746e-03 -2.136412e-03 
stepno=   10, timepoints=2.816000e+02, conv=0, iters=26, x=7.096584e-01 6.723835e-01 8.928667e+00 1.697289e-01 1.500000e+00 1.000000e+01 -5.716502e-03 -2.132737e-03 
stepno=   11, timepoints=3.520000e+02, conv=0, iters=26, x=7.097013e-01 6.723933e-01 9.371284e+00 2.052428e-01 1.500000e+00 1.000000e+01 -5.273864e-03 -2.129303e-03 
stepno=   12, timepoints=4.224000e+02, conv=0, iters=26, x=7.097414e-01 6.724023e-01 9.631035e+00 2.384236e-01 1.500000e+00 1.000000e+01 -5.014092e-03 -2.126096e-03 
stepno=   13, timepoints=4.928000e+02, conv=0, iters=26, x=7.097790e-01 6.724108e-01 9.783471e+00 2.694245e-01 1.500000e+00 1.000000e+01 -4.861636e-03 -2.123098e-03 
stepno=   14, timepoints=5.632000e+02, conv=0, iters=26, x=7.098141e-01 6.724188e-01 9.872929e+00 2.983889e-01 1.500000e+00 1.000000e+01 -4.772161e-03 -2.120298e-03 
stepno=   15, timepoints=6.336000e+02, conv=0, iters=26, x=7.098470e-01 6.724262e-01 9.925428e+00 3.254504e-01 1.500000e+00 1.000000e+01 -4.719646e-03 -2.117682e-03 
stepno=   16, timepoints=7.040000e+02, conv=0, iters=26, x=7.098778e-01 6.724331e-01 9.956237e+00 3.507341e-01 1.500000e+00 1.000000e+01 -4.688821e-03 -2.115238e-03 
stepno=   17, timepoints=7.744000e+02, conv=0, iters=26, x=7.099065e-01 6.724396e-01 9.974318e+00 3.743568e-01 1.500000e+00 1.000000e+01 -4.670726e-03 -2.112954e-03 
stepno=   18, timepoints=8.448000e+02, conv=0, iters=26, x=7.099335e-01 6.724456e-01 9.984928e+00 3.964276e-01 1.500000e+00 1.000000e+01 -4.660102e-03 -2.110820e-03 
stepno=   19, timepoints=9.152000e+02, conv=0, iters=26, x=7.099586e-01 6.724513e-01 9.991155e+00 4.170485e-01 1.500000e+00 1.000000e+01 -4.653863e-03 -2.108827e-03 
stepno=   20, timepoints=9.856000e+02, conv=0, iters=26, x=7.099822e-01 6.724566e-01 9.994809e+00 4.363147e-01 1.500000e+00 1.000000e+01 -4.650197e-03 -2.106964e-03 
stepno=   21, timepoints=1.056000e+03, conv=0, iters=26, x=7.100042e-01 6.724615e-01 9.996954e+00 4.543152e-01 1.500000e+00 1.000000e+01 -4.648041e-03 -2.105224e-03 
stepno=   22, timepoints=1.126400e+03, conv=0, iters=26, x=7.100247e-01 6.724661e-01 9.998212e+00 4.711331e-01 1.500000e+00 1.000000e+01 -4.646772e-03 -2.103598e-03 
stepno=   23, timepoints=1.196800e+03, conv=0, iters=26, x=7.100440e-01 6.724704e-01 9.998951e+00 4.868463e-01 1.500000e+00 1.000000e+01 -4.646024e-03 -2.102080e-03 
stepno=   24, timepoints=1.267200e+03, conv=0, iters=26, x=7.100620e-01 6.724745e-01 9.999384e+00 5.015271e-01 1.500000e+00 1.000000e+01 -4.645582e-03 -2.100660e-03 
stepno=   25, timepoints=1.337600e+03, conv=0, iters=26, x=7.100788e-01 6.724782e-01 9.999639e+00 5.152435e-01 1.500000e+00 1.000000e+01 -4.645319e-03 -2.099334e-03 
stepno=   26, timepoints=1.408000e+03, conv=0, iters=26, x=7.100945e-01 6.724817e-01 9.999788e+00 5.280588e-01 1.500000e+00 1.000000e+01 -4.645162e-03 -2.098096e-03 
stepno=   27, timepoints=1.478400e+03, conv=0, iters=26, x=7.101092e-01 6.724850e-01 9.999876e+00 5.400323e-01 1.500000e+00 1.000000e+01 -4.645067e-03 -2.096938e-03 
stepno=   28, timepoints=1.548800e+03, conv=0, iters=26, x=7.101230e-01 6.724881e-01 9.999927e+00 5.512191e-01 1.500000e+00 1.000000e+01 -4.645008e-03 -2.095857e-03 
