stepno=    1, timepoints=1.000000e+00, conv=0, iters= 2, x=2.711089e-15 6.615951e-02 9.900990e-02 6.609276e-05 1.980198e-02 1.000000e+01 -1.851959e-02 
stepno=    2, timepoints=3.000000e+00, conv=0, iters= 2, x=2.028696e-14 1.964932e-01 2.931651e-01 4.581537e-04 5.863302e-02 1.000093e+01 -1.823251e-02 
stepno=    3, timepoints=7.000000e+00, conv=0, iters= 2, x=5.249926e-13 4.493994e-01 6.665225e-01 2.246675e-03 1.333045e-01 1.000046e+01 -1.767473e-02 
stepno=    4, timepoints=1.500000e+01, conv=0, iters= 2, x=1.686036e-10 9.260250e-01 1.357908e+00 9.577489e-03 2.715815e-01 1.000022e+01 -1.663751e-02 
stepno=    5, timepoints=3.100000e+01, conv=0, iters= 2, x=2.413278e-06 1.775500e+00 2.549935e+00 3.738140e-02 5.099869e-01 1.000010e+01 -1.483126e-02 
stepno=    6, timepoints=6.300000e+01, conv=0, iters= 7, x=9.186145e-02 2.835240e+00 4.356022e+00 1.240982e-01 8.683105e-01 1.000005e+01 -1.224690e-02 
stepno=    7, timepoints=1.270000e+02, conv=0, iters=23, x=4.744683e-01 2.504692e+00 6.558558e+00 2.671311e-01 1.289305e+00 1.000002e+01 -1.018049e-02 
stepno=    8, timepoints=2.550000e+02, conv=1, iters=50, x=
stepno=    9, timepoints=1.910000e+02, conv=0, iters=30, x=7.139857e-01 1.362649e+00 7.901566e+00 3.328267e-01 1.537617e+00 1.000002e+01 -9.549165e-03 
stepno=   10, timepoints=3.190000e+02, conv=1, iters=50, x=
stepno=   11, timepoints=2.550000e+02, conv=0, iters=35, x=7.323894e-01 8.127407e-01 8.720473e+00 3.614763e-01 1.556618e+00 1.000001e+01 -9.093071e-03 
stepno=   12, timepoints=3.830000e+02, conv=1, iters=50, x=
stepno=   13, timepoints=3.190000e+02, conv=0, iters=35, x=6.856807e-01 7.547596e-01 9.219806e+00 3.849009e-01 1.508491e+00 1.000001e+01 -8.642013e-03 
stepno=   14, timepoints=4.470000e+02, conv=1, iters=50, x=
stepno=   15, timepoints=3.830000e+02, conv=0, iters=34, x=6.711645e-01 7.416987e-01 9.524277e+00 4.061182e-01 1.493509e+00 1.000001e+01 -8.349242e-03 
stepno=   16, timepoints=5.110000e+02, conv=1, iters=50, x=
stepno=   17, timepoints=4.470000e+02, conv=0, iters=34, x=6.671806e-01 7.382975e-01 9.709930e+00 4.258427e-01 1.489395e+00 1.000001e+01 -8.166683e-03 
stepno=   18, timepoints=5.750000e+02, conv=1, iters=50, x=
stepno=   19, timepoints=5.110000e+02, conv=0, iters=34, x=6.661804e-01 7.374786e-01 9.823133e+00 4.443205e-01 1.488362e+00 1.000001e+01 -8.054232e-03 
stepno=   20, timepoints=6.390000e+02, conv=0, iters=39, x=6.660877e-01 7.374664e-01 9.922430e+00 4.770439e-01 1.488266e+00 1.000001e+01 -7.954950e-03 
stepno=   21, timepoints=8.950000e+02, conv=1, iters=50, x=
stepno=   22, timepoints=7.670000e+02, conv=1, iters=50, x=
stepno=   23, timepoints=7.030000e+02, conv=0, iters=34, x=6.661687e-01 7.375672e-01 9.952706e+00 4.924183e-01 1.488350e+00 1.000001e+01 -7.924602e-03 
stepno=   24, timepoints=8.310000e+02, conv=1, iters=50, x=
stepno=   25, timepoints=7.670000e+02, conv=0, iters=34, x=6.662792e-01 7.376913e-01 9.971167e+00 5.068667e-01 1.488464e+00 1.000001e+01 -7.906035e-03 
stepno=   26, timepoints=8.950000e+02, conv=1, iters=50, x=
stepno=   27, timepoints=8.310000e+02, conv=0, iters=34, x=6.663927e-01 7.378162e-01 9.982424e+00 5.204453e-01 1.488581e+00 1.000001e+01 -7.894672e-03 
stepno=   28, timepoints=9.590000e+02, conv=1, iters=50, x=
stepno=   29, timepoints=8.950000e+02, conv=0, iters=34, x=6.665020e-01 7.379358e-01 9.989288e+00 5.332068e-01 1.488694e+00 1.000001e+01 -7.887706e-03 
stepno=   30, timepoints=1.023000e+03, conv=1, iters=50, x=
stepno=   31, timepoints=9.590000e+02, conv=0, iters=34, x=6.666054e-01 7.380488e-01 9.993473e+00 5.452001e-01 1.488800e+00 1.000001e+01 -7.883424e-03 
stepno=   32, timepoints=1.087000e+03, conv=1, iters=50, x=
stepno=   33, timepoints=1.023000e+03, conv=0, iters=34, x=6.667029e-01 7.381552e-01 9.996025e+00 5.564717e-01 1.488901e+00 1.000001e+01 -7.880781e-03 
stepno=   34, timepoints=1.151000e+03, conv=1, iters=50, x=
stepno=   35, timepoints=1.087000e+03, conv=0, iters=34, x=6.667945e-01 7.382552e-01 9.997581e+00 5.670650e-01 1.488996e+00 1.000001e+01 -7.879139e-03 
stepno=   36, timepoints=1.215000e+03, conv=1, iters=50, x=
stepno=   37, timepoints=1.151000e+03, conv=0, iters=34, x=6.668807e-01 7.383493e-01 9.998530e+00 5.770207e-01 1.489084e+00 1.000001e+01 -7.878110e-03 
stepno=   38, timepoints=1.279000e+03, conv=1, iters=50, x=
stepno=   39, timepoints=1.215000e+03, conv=0, iters=34, x=6.669616e-01 7.384377e-01 9.999108e+00 5.863773e-01 1.489168e+00 1.000001e+01 -7.877455e-03 
stepno=   40, timepoints=1.343000e+03, conv=1, iters=50, x=
stepno=   41, timepoints=1.279000e+03, conv=0, iters=34, x=6.670377e-01 7.385208e-01 9.999461e+00 5.951708e-01 1.489247e+00 1.000001e+01 -7.877032e-03 
stepno=   42, timepoints=1.407000e+03, conv=1, iters=50, x=
stepno=   43, timepoints=1.343000e+03, conv=0, iters=34, x=6.671092e-01 7.385988e-01 9.999676e+00 6.034351e-01 1.489320e+00 1.000001e+01 -7.876750e-03 
stepno=   44, timepoints=1.471000e+03, conv=1, iters=50, x=
stepno=   45, timepoints=1.407000e+03, conv=0, iters=34, x=6.671764e-01 7.386722e-01 9.999807e+00 6.112020e-01 1.489390e+00 1.000001e+01 -7.876556e-03 
stepno=   46, timepoints=1.535000e+03, conv=1, iters=50, x=
stepno=   47, timepoints=1.471000e+03, conv=0, iters=34, x=6.672396e-01 7.387412e-01 9.999887e+00 6.185015e-01 1.489455e+00 1.000001e+01 -7.876417e-03 
stepno=   48, timepoints=1.599000e+03, conv=1, iters=50, x=
stepno=   49, timepoints=1.535000e+03, conv=0, iters=34, x=6.672990e-01 7.388060e-01 9.999936e+00 6.253617e-01 1.489516e+00 1.000001e+01 -7.876312e-03 
stepno=   50, timepoints=1.663000e+03, conv=1, iters=50, x=
stepno=   51, timepoints=1.599000e+03, conv=0, iters=34, x=6.673547e-01 7.388669e-01 9.999966e+00 6.318090e-01 1.489574e+00 1.000001e+01 -7.876231e-03 
stepno=   52, timepoints=1.727000e+03, conv=1, iters=50, x=
stepno=   53, timepoints=1.663000e+03, conv=0, iters=34, x=6.674072e-01 7.389241e-01 9.999984e+00 6.378684e-01 1.489628e+00 1.000001e+01 -7.876163e-03 
stepno=   54, timepoints=1.791000e+03, conv=1, iters=50, x=
stepno=   55, timepoints=1.727000e+03, conv=0, iters=34, x=6.674565e-01 7.389779e-01 9.999995e+00 6.435630e-01 1.489679e+00 1.000001e+01 -7.876106e-03 
stepno=   56, timepoints=1.855000e+03, conv=1, iters=50, x=
stepno=   57, timepoints=1.791000e+03, conv=0, iters=34, x=6.675028e-01 7.390285e-01 1.000000e+01 6.489150e-01 1.489727e+00 1.000001e+01 -7.876056e-03 
stepno=   58, timepoints=1.919000e+03, conv=1, iters=50, x=
stepno=   59, timepoints=1.855000e+03, conv=0, iters=34, x=6.675463e-01 7.390760e-01 1.000001e+01 6.539449e-01 1.489772e+00 1.000001e+01 -7.876012e-03 
stepno=   60, timepoints=1.983000e+03, conv=1, iters=50, x=
stepno=   61, timepoints=1.919000e+03, conv=0, iters=34, x=6.675872e-01 7.391207e-01 1.000001e+01 6.586720e-01 1.489814e+00 1.000001e+01 -7.875971e-03 
stepno=   62, timepoints=2.047000e+03, conv=1, iters=50, x=
stepno=   63, timepoints=1.983000e+03, conv=0, iters=34, x=6.676256e-01 7.391626e-01 1.000001e+01 6.631147e-01 1.489853e+00 1.000001e+01 -7.875933e-03 
stepno=   64, timepoints=2.111000e+03, conv=1, iters=50, x=
stepno=   65, timepoints=2.047000e+03, conv=0, iters=34, x=6.676618e-01 7.392021e-01 1.000001e+01 6.672900e-01 1.489891e+00 1.000001e+01 -7.875899e-03 
