stepno=    1, timepoints=1.000000e+00, conv=0, iters= 9, x=3.602627e-03 -9.996412e+00 -6.386593e+00 2.991672e-02 2.991532e-02 9.965647e-06 9.965267e-06 1.422491e-08 1.430949e-08 2.779387e-02 -4.386593e+00 2.845725e-02 1.200060e+01 1.200004e+01 -5.985872e-03 -5.985425e-03 -3.609819e-04 1.471690e-04 
stepno=    2, timepoints=3.000000e+00, conv=0, iters= 9, x=1.081803e-02 -9.989207e+00 -6.359887e+00 8.941303e-02 8.941025e-02 6.940982e-05 6.940764e-05 6.063409e-08 6.077226e-08 8.308607e-02 -4.359895e+00 8.507014e-02 1.200060e+01 1.200032e+01 -5.957174e-03 -5.956539e-03 -3.629320e-04 1.481662e-04 
stepno=    3, timepoints=7.000000e+00, conv=0, iters= 9, x=2.528707e-02 -9.974726e+00 -6.306912e+00 2.070695e-01 2.070654e-01 3.437229e-04 3.437153e-04 1.929901e-07 1.931215e-07 1.924981e-01 -4.306915e+00 1.970953e-01 1.200030e+01 1.200016e+01 -5.900256e-03 -5.899039e-03 -3.667814e-04 1.501344e-04 
stepno=    4, timepoints=1.500000e+01, conv=0, iters= 9, x=5.436066e-02 -9.945646e+00 -6.202744e+00 4.371666e-01 4.371612e-01 1.493765e-03 1.493744e-03 8.122262e-07 8.123395e-07 4.067407e-01 -4.202746e+00 4.164499e-01 1.200015e+01 1.200008e+01 -5.789096e-03 -5.786636e-03 -3.742901e-04 1.539740e-04 
stepno=    5, timepoints=3.100000e+01, conv=0, iters= 9, x=1.129202e-01 -9.887083e+00 -6.001279e+00 8.774127e-01 8.774063e-01 6.045447e-03 6.045393e-03 1.052839e-05 1.052848e-05 8.176687e-01 -4.001280e+00 8.371597e-01 1.200007e+01 1.200004e+01 -5.576265e-03 -5.571378e-03 -3.885804e-04 1.612822e-04 
stepno=    6, timepoints=6.300000e+01, conv=0, iters= 9, x=2.307510e-01 -9.769251e+00 -5.624102e+00 1.682761e+00 1.682754e+00 2.302031e-02 2.302019e-02 1.441202e-03 1.441202e-03 1.574890e+00 -3.624103e+00 1.612319e+00 1.200003e+01 1.200002e+01 -5.185604e-03 -5.176241e-03 -4.145148e-04 1.745484e-04 
stepno=    7, timepoints=1.270000e+02, conv=0, iters= 9, x=4.593214e-01 -9.540680e+00 -4.963319e+00 2.814552e+00 2.814545e+00 7.657855e-02 7.657831e-02 1.244336e-01 1.244336e-01 2.868799e+00 -2.963319e+00 2.936599e+00 1.200002e+01 1.200001e+01 -4.579168e-03 -4.562217e-03 -4.577361e-04 1.966655e-04 
stepno=    8, timepoints=2.550000e+02, conv=0, iters=23, x=8.687063e-01 -9.131294e+00 -3.936287e+00 3.671914e+00 3.671908e+00 1.994598e-01 1.994594e-01 5.057576e-01 5.057576e-01 4.800038e+00 -1.936287e+00 4.912415e+00 1.200001e+01 1.200000e+01 -3.882008e-03 -3.853914e-03 -5.195007e-04 2.282899e-04 
stepno=    9, timepoints=5.110000e+02, conv=1, iters=50, x=
stepno=   10, timepoints=3.830000e+02, conv=1, iters=50, x=
stepno=   11, timepoints=3.190000e+02, conv=0, iters=24, x=1.060680e+00 -8.939321e+00 -3.487125e+00 3.840900e+00 3.840895e+00 2.594263e-01 2.594258e-01 6.914140e-01 6.914140e-01 5.625548e+00 -1.487125e+00 5.756792e+00 1.200001e+01 1.200001e+01 -3.633394e-03 -3.600582e-03 -5.452197e-04 2.414639e-04 
stepno=   12, timepoints=4.470000e+02, conv=1, iters=50, x=
stepno=   13, timepoints=3.830000e+02, conv=0, iters=28, x=1.239311e+00 -8.760690e+00 -3.094397e+00 3.808053e+00 3.808047e+00 3.140643e-01 3.140637e-01 8.654063e-01 8.654063e-01 6.331435e+00 -1.094398e+00 6.478650e+00 1.200001e+01 1.200001e+01 -3.465133e-03 -3.428329e-03 -5.666293e-04 2.524349e-04 
